"Index","Country","Prediction","Company","Date","City","Advice","Info","Travellers","Severity","DIstance"
"39","France","Crime Risk","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"40","France","Crime Risk","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"41","France","Crime Risk","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"42","Georgia","Terrorism Risk","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"43","Georgia","Kidanp","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"44","Germany","Terrorism Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"45","Germany","Kidanp","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"46","Greece","Terrorism Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"47","Greece","Kidanp","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"48","India","Kidanp","controlrisks","2021-05-05 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"49","India","Kidanp","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"50","India","Terrorism Risk","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"51","India","Kidanp","controlrisks","2021-05-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"52","India","Terrorism Risk","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"53","India","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"54","India","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"55","India","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"56","India","Crime Risk","controlrisks","2021-05-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"57","India","Kidanp","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"58","India","Kidanp","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"59","India","Crime Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"60","India","Terrorism Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"61","India","Crime Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"62","India","Kidanp","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"63","Indonesia","Crime Risk","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"64","Indonesia","Terrorism Risk","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"65","Indonesia","Crime Risk","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"66","Indonesia","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"67","Indonesia","Crime Risk","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"68","Indonesia","Terrorism Risk","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"69","Indonesia","Crime Risk","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"70","Indonesia","Kidanp","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"71","Indonesia","Crime Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"72","Missing Country","Crime Risk","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"73","Missing Country","Crime Risk","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"74","Azerbaijan","Crime Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"75","Azerbaijan","Crime Risk","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"76","Missing Country","Kidanp","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"77","Missing Country","Crime Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"78","Missing Country","Crime Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"79","Israel","Kidanp","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"80","Iraq","Crime Risk","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"81","Iraq","Kidanp","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"82","Iraq","Crime Risk","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"83","Iraq","Kidanp","controlrisks","2021-05-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"84","Iraq","Terrorism Risk","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"85","Iraq","Kidanp","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"86","Iraq","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"87","Iraq","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"88","Iraq","Terrorism Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"89","Iraq","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"90","Iraq","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"91","Iraq","Crime Risk","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","THREE","Not Recieved"
"92","Iraq","Terrorism Risk","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"93","Iraq","Crime Risk","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"94","Iraq","Kidanp","controlrisks","2021-05-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"95","Iraq","Crime Risk","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"96","Iraq","Kidanp","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"97","Iraq","Crime Risk","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"98","Iraq","Kidanp","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"99","Iraq","Crime Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"100","Iraq","Terrorism Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"101","Iraq","Kidanp","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"102","Ireland","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"103","Ireland","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"104","Israel","Terrorism Risk","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"105","Israel","Crime Risk","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"106","Israel","Kidanp","controlrisks","2021-05-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"107","Israel","Kidanp","controlrisks","2021-05-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"108","Israel","Kidanp","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"109","Israel","Kidanp","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"110","Israel","Kidanp","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"111","Israel","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"112","Israel","Crime Risk","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"113","Israel","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"114","Israel","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"115","Israel","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"116","Israel","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"117","Israel","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"118","Israel","Crime Risk","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"119","Israel","Kidanp","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"120","Israel","Terrorism Risk","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"121","Israel","Kidanp","controlrisks","2021-05-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"122","Israel","Crime Risk","controlrisks","2021-05-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"123","Israel","Kidanp","controlrisks","2021-05-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"124","Israel","Kidanp","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"125","Israel","Kidanp","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"126","Israel","Crime Risk","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"127","Israel","Kidanp","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"128","Israel","Terrorism Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"129","Israel","Kidanp","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"130","Israel","Crime Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"131","Israel","Kidanp","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"132","Israel","Kidanp","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"133","Israel","Kidanp","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"134","Israel","Crime Risk","controlrisks","2021-05-20 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"135","Italy","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"136","Italy","Terrorism Risk","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"137","Italy","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"138","Italy","Crime Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"139","Jamaica","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"140","Jamaica","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"141","Japan","Kidanp","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"142","Japan","Crime Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"143","Israel","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"144","Israel","Crime Risk","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"145","Israel","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"146","Israel","Crime Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"147","Israel","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"148","Israel","Crime Risk","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"149","Jordan","Kidanp","controlrisks","2021-05-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"150","Jordan","Crime Risk","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"151","Israel","Kidanp","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"152","Israel","Kidanp","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"153","Israel","Kidanp","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"154","Israel","Crime Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"155","Jordan","Kidanp","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"156","Jordan","Crime Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"157","Malaysia","Kidanp","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"158","Mali","Kidanp","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"159","Mali","Kidanp","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"160","Mali","Crime Risk","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"161","Mali","Kidanp","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"162","Israel","Kidanp","controlrisks","2021-05-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"163","Morocco","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"164","Israel","Crime Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"165","WesternSahara","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"166","WesternSahara","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"167","WesternSahara","Kidanp","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"168","Israel","Terrorism Risk","controlrisks","2021-05-15 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"169","Israel","Kidanp","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"170","WesternSahara","Kidanp","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"171","WesternSahara","Kidanp","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"172","Morocco","Kidanp","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"173","Mozambique","Kidanp","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"174","Mozambique","Kidanp","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"175","Mozambique","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"176","Mozambique","Terrorism Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"177","Myanmar","Kidanp","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"178","Myanmar","Kidanp","controlrisks","0500-06-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"179","Myanmar","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"180","Myanmar","Kidanp","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"181","Myanmar","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"182","Myanmar","Crime Risk","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","THREE","Not Recieved"
"183","Myanmar","Kidanp","controlrisks","0500-06-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"184","Myanmar","Terrorism Risk","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"185","Myanmar","Kidanp","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"186","Myanmar","Crime Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"187","Myanmar","Crime Risk","controlrisks","2021-06-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"188","Myanmar","Kidanp","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"189","China","Crime Risk","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"190","Myanmar","Crime Risk","controlrisks","2021-05-13 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"191","Myanmar","Crime Risk","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"192","Myanmar","Kidanp","controlrisks","2021-05-14 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"193","Myanmar","Crime Risk","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"194","Myanmar","Crime Risk","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"195","Myanmar","Crime Risk","controlrisks","2021-06-02 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"196","Myanmar","Kidanp","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"197","Myanmar","Crime Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"198","Myanmar","Crime Risk","controlrisks",NULL,,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"199","Myanmar","Crime Risk","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"200","Myanmar","Terrorism Risk","controlrisks","0500-06-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"201","Myanmar","Crime Risk","controlrisks","2021-05-19 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"202","Myanmar","Kidanp","controlrisks","2021-05-20 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"203","Nepal","Crime Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"204","Netherlands","Kidanp","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
